Date,Product,Category,UnitPrice,QuantitySold,TotalRevenue,Customer,Region,CalculatedRevenue,Month,Weekday
2025-04-09,Del Monte Orange,Juice,200,80,16000,Shirley Martin,Littlechester,16000,April,Wednesday
2025-05-26,Rum,Liquor,1000,94,94000,Elizabeth Porter,West Brittanybury,94000,May,Monday
2025-06-17,Sprite,Soft Drink,100,8,800,Daniel Gonzalez,Sherrichester,800,June,Tuesday
2025-06-06,Whiskey,Liquor,1200,94,112800,Jennifer Sanders,Lake Ethanmouth,112800,June,Friday
2025-06-20,Vodka,Liquor,950,55,52250,Megan Rodriguez,Christymouth,52250,June,Friday
2025-06-15,Rum,Liquor,1000,36,36000,Tammy Patterson,South Adamburgh,36000,June,Sunday
2025-03-31,Del Monte Orange,Juice,200,10,2000,Victoria Wilson,West Jill,2000,March,Monday
2025-05-28,Del Monte Orange,Juice,200,10,2000,Kristine Gray,Angelabury,2000,May,Wednesday
2025-04-09,Vodka,Liquor,950,18,17100,Jennifer Bailey,Benjaminfurt,17100,April,Wednesday
2025-03-27,Rum,Liquor,1000,26,26000,Anna Walton,Jenniferside,26000,March,Thursday
2025-06-22,Del Monte Mango,Juice,200,15,3000,Jessica Jenkins,West Laurenton,3000,June,Sunday
2025-06-19,Brandy,Liquor,1100,46,50600,Erin Garcia,West Melissachester,50600,June,Thursday
2025-04-20,Rum,Liquor,1000,75,75000,Samantha Mitchell,Carneystad,75000,April,Sunday
2025-04-25,Brandy,Liquor,1100,12,13200,Edward Rice,North Brianton,13200,April,Friday
2025-04-22,Vodka,Liquor,950,74,70300,Melissa Anderson,North Stephenberg,70300,April,Tuesday
2025-06-25,Coca-Cola,Soft Drink,100,80,8000,Jessica Bass,Adamland,8000,June,Wednesday
2025-06-25,Gin,Liquor,850,11,9350,Brent Nelson,Scottville,9350,June,Wednesday
2025-03-29,Whiskey,Liquor,1200,100,120000,Katherine Clark,Kimberlyport,120000,March,Saturday
2025-05-22,Gin,Liquor,850,100,85000,Nancy Kerr,Courtneyborough,85000,May,Thursday
2025-03-28,Sprite,Soft Drink,100,58,5800,Meredith Colon,Brandonburgh,5800,March,Friday
2025-04-16,Minute Maid,Soft Drink,150,89,13350,Michael Martinez,New Tylerfurt,13350,April,Wednesday
2025-06-14,Rum,Liquor,1000,36,36000,James Dean,New Williambury,36000,June,Saturday
2025-03-29,Rum,Liquor,1000,26,26000,Kelly White,Gonzalezberg,26000,March,Saturday
2025-05-03,Whiskey,Liquor,1200,99,118800,April Johnson,Jenniferland,118800,May,Saturday
2025-06-24,Gin,Liquor,850,32,27200,Jenna Rogers,Natalieberg,27200,June,Tuesday
2025-06-26,Del Monte Mango,Juice,200,44,8800,Scott Thompson,Frankstad,8800,June,Thursday
2025-04-20,Del Monte Mango,Juice,200,6,1200,Gary Martinez,West Brenda,1200,April,Sunday
2025-05-31,Coca-Cola,Soft Drink,100,80,8000,Brad Mejia,Sharihaven,8000,May,Saturday
2025-05-29,Del Monte Mango,Juice,200,8,1600,Denise Davis,Ashleyberg,1600,May,Thursday
2025-05-30,Brandy,Liquor,1100,40,44000,Stephanie Miller,Hallside,44000,May,Friday
2025-05-19,Del Monte Mango,Juice,200,85,17000,Bobby Rowe,Maryburgh,17000,May,Monday
2025-06-19,Vodka,Liquor,950,71,67450,Sara Brown,Port Marcusburgh,67450,June,Thursday
2025-06-02,Minute Maid,Soft Drink,150,99,14850,Elizabeth Martin,South Deniseview,14850,June,Monday
2025-05-19,Whiskey,Liquor,1200,57,68400,Felicia Jones,Connerfort,68400,May,Monday
2025-04-16,Del Monte Mango,Juice,200,77,15400,Megan Deleon Md,Jodyton,15400,April,Wednesday
2025-06-05,Sprite,Soft Drink,100,60,6000,Emily Wood,Lisamouth,6000,June,Thursday
2025-04-23,Sprite,Soft Drink,100,78,7800,Lisa Herrera,North Christian,7800,April,Wednesday
2025-06-15,Whiskey,Liquor,1200,10,12000,James Herrera,East Keithberg,12000,June,Sunday
2025-04-14,Rum,Liquor,1000,47,47000,Laura Carter,East Coreystad,47000,April,Monday
